domain,label,asn,cop,subnet
108.160.167.159,0.5,19679.0,DROPBOX,108.160.167
108.160.169.178,0.5,19679.0,DROPBOX,108.160.169
47.96.194.162,0.5,37963.0,"Hangzhou Alibaba Advertising Co.,Ltd.",47.96.194
172.67.148.147,0.5,13335.0,CLOUDFLARENET,172.67.148
104.21.29.72,0.5,13335.0,CLOUDFLARENET,104.21.29
121.196.100.169,0.5,37963.0,"Hangzhou Alibaba Advertising Co.,Ltd.",121.196.100
47.110.42.44,0.5,37963.0,"Hangzhou Alibaba Advertising Co.,Ltd.",47.110.42
47.99.174.171,0.5,37963.0,"Hangzhou Alibaba Advertising Co.,Ltd.",47.99.174
104.18.4.17,0.5,13335.0,CLOUDFLARENET,104.18.4
104.18.5.17,0.5,13335.0,CLOUDFLARENET,104.18.5
112.74.1.156,0.5,37963.0,"Hangzhou Alibaba Advertising Co.,Ltd.",112.74.1
107.154.197.79,0.5,19551.0,INCAPSULA,107.154.197
42.245.248.126,0.5,133111.0,"CERNET New Technology Co., Ltd",42.245.248
210.38.3.62,0.5,4538.0,China Education and Research Network Center,210.38.3
184.28.218.51,0.5,20940.0,Akamai International B.V.,184.28.218
184.28.218.27,0.5,20940.0,Akamai International B.V.,184.28.218
140.174.2.195,0.5,30212.0,HYPERMEDIA-SYSTEMS,140.174.2
172.66.40.228,0.5,13335.0,CLOUDFLARENET,172.66.40
172.66.43.28,0.5,13335.0,CLOUDFLARENET,172.66.43
104.21.65.179,0.5,13335.0,CLOUDFLARENET,104.21.65
172.67.165.73,0.5,13335.0,CLOUDFLARENET,172.67.165
166.111.120.42,0.5,4538.0,China Education and Research Network Center,166.111.120
156.146.56.89,0.5,60068.0,Datacamp Limited,156.146.56
109.206.161.72,0.5,50245.0,Serverel Inc.,109.206.161
128.242.250.157,0.5,2914.0,NTT-LTD-2914,128.242.250
128.242.250.155,0.5,2914.0,NTT-LTD-2914,128.242.250
188.42.233.28,0.5,35415.0,Webzilla B.V.,188.42.233
220.181.174.164,0.5,23724.0,"IDC, China Telecommunications Corporation",220.181.174
199.59.243.225,0.5,16509.0,AMAZON-02,199.59.243
104.21.31.148,0.5,13335.0,CLOUDFLARENET,104.21.31
172.67.177.203,0.5,13335.0,CLOUDFLARENET,172.67.177
222.192.186.77,0.5,4538.0,China Education and Research Network Center,222.192.186
222.192.186.76,0.5,4538.0,China Education and Research Network Center,222.192.186
128.242.245.29,0.5,2914.0,NTT-LTD-2914,128.242.245
192.225.158.3,0.5,30286.0,THM,192.225.158
128.242.245.244,0.5,2914.0,NTT-LTD-2914,128.242.245
13.226.120.18,0.5,16509.0,AMAZON-02,13.226.120
13.226.120.4,0.5,16509.0,AMAZON-02,13.226.120
13.226.120.83,0.5,16509.0,AMAZON-02,13.226.120
13.226.120.60,0.5,16509.0,AMAZON-02,13.226.120
131.130.70.8,0.5,760.0,Vienna University Computer Center,131.130.70
98.159.108.58,0.5,asn,cop,98.159.108
128.242.245.221,0.5,2914.0,NTT-LTD-2914,128.242.245
104.115.38.226,0.5,20940.0,Akamai International B.V.,104.115.38
23.198.11.79,0.5,20940.0,Akamai International B.V.,23.198.11
192.40.35.168,0.5,27381.0,CASALE-MEDIA,192.40.35
195.58.165.174,0.5,8412.0,T-Mobile Austria GmbH,195.58.165
104.18.7.241,0.5,13335.0,CLOUDFLARENET,104.18.7
104.18.6.241,0.5,13335.0,CLOUDFLARENET,104.18.6
128.242.245.157,0.5,2914.0,NTT-LTD-2914,128.242.245
46.19.8.97,0.5,51790.0,"Siel, Informacijske Resitve, D.o.o.",46.19.8
31.13.68.169,0.5,32934.0,FACEBOOK,31.13.68
52.97.34.98,0.5,8075.0,MICROSOFT-CORP-MSN-AS-BLOCK,52.97.34
52.97.33.114,0.5,8075.0,MICROSOFT-CORP-MSN-AS-BLOCK,52.97.33
52.97.26.34,0.5,8075.0,MICROSOFT-CORP-MSN-AS-BLOCK,52.97.26
52.97.26.130,0.5,8075.0,MICROSOFT-CORP-MSN-AS-BLOCK,52.97.26
52.97.0.226,0.5,8075.0,MICROSOFT-CORP-MSN-AS-BLOCK,52.97.0
52.97.78.82,0.5,8075.0,MICROSOFT-CORP-MSN-AS-BLOCK,52.97.78
52.97.26.98,0.5,8075.0,MICROSOFT-CORP-MSN-AS-BLOCK,52.97.26
52.97.33.178,0.5,8075.0,MICROSOFT-CORP-MSN-AS-BLOCK,52.97.33
20.135.4.170,0.5,8075.0,MICROSOFT-CORP-MSN-AS-BLOCK,20.135.4
104.21.73.231,0.5,13335.0,CLOUDFLARENET,104.21.73
172.67.167.136,0.5,13335.0,CLOUDFLARENET,172.67.167
104.21.233.199,0.5,13335.0,CLOUDFLARENET,104.21.233
104.21.233.200,0.5,13335.0,CLOUDFLARENET,104.21.233
34.120.195.249,0.5,396982.0,GOOGLE-CLOUD-PLATFORM,34.120.195
185.53.177.112,0.5,61969.0,Team Internet AG,185.53.177
118.193.240.41,0.5,asn,cop,118.193.240
54.231.230.105,0.5,16509.0,AMAZON-02,54.231.230
52.216.245.36,0.5,16509.0,AMAZON-02,52.216.245
3.5.11.188,0.5,14618.0,AMAZON-AES,3.5.11
3.5.29.141,0.5,14618.0,AMAZON-AES,3.5.29
52.216.57.57,0.5,16509.0,AMAZON-02,52.216.57
52.217.112.185,0.5,16509.0,AMAZON-02,52.217.112
52.217.193.65,0.5,16509.0,AMAZON-02,52.217.193
54.231.128.25,0.5,16509.0,AMAZON-02,54.231.128
74.117.179.67,0.5,40824.0,WZ-US-40824,74.117.179
172.66.40.134,0.5,13335.0,CLOUDFLARENET,172.66.40
172.66.43.122,0.5,13335.0,CLOUDFLARENET,172.66.43
122.205.109.38,0.5,4538.0,China Education and Research Network Center,122.205.109
199.16.156.71,0.5,13414.0,TWITTER,199.16.156
5.61.53.93,0.5,58061.0,Scalaxy B.V.,5.61.53
121.51.166.101,0.5,45090.0,Shenzhen Tencent Computer Systems Company Limited,121.51.166
104.23.141.16,0.5,13335.0,CLOUDFLARENET,104.23.141
104.23.142.16,0.5,13335.0,CLOUDFLARENET,104.23.142
185.45.7.189,0.5,35995.0,TWITTER,185.45.7
13.107.42.254,0.5,8068.0,MICROSOFT-CORP-MSN-AS-BLOCK,13.107.42
52.96.88.226,0.5,8075.0,MICROSOFT-CORP-MSN-AS-BLOCK,52.96.88
52.96.88.194,0.5,8075.0,MICROSOFT-CORP-MSN-AS-BLOCK,52.96.88
40.99.226.226,0.5,8075.0,MICROSOFT-CORP-MSN-AS-BLOCK,40.99.226
52.96.215.34,0.5,8075.0,MICROSOFT-CORP-MSN-AS-BLOCK,52.96.215
40.99.164.82,0.5,8075.0,MICROSOFT-CORP-MSN-AS-BLOCK,40.99.164
40.99.226.162,0.5,8075.0,MICROSOFT-CORP-MSN-AS-BLOCK,40.99.226
40.99.227.2,0.5,8075.0,MICROSOFT-CORP-MSN-AS-BLOCK,40.99.227
40.99.226.242,0.5,8075.0,MICROSOFT-CORP-MSN-AS-BLOCK,40.99.226
172.67.72.151,0.5,13335.0,CLOUDFLARENET,172.67.72
104.26.5.209,0.5,13335.0,CLOUDFLARENET,104.26.5
104.26.4.209,0.5,13335.0,CLOUDFLARENET,104.26.4
64.210.140.46,0.5,29789.0,REFLECTED,64.210.140
40.99.221.2,0.5,8075.0,MICROSOFT-CORP-MSN-AS-BLOCK,40.99.221
52.97.211.50,0.5,8075.0,MICROSOFT-CORP-MSN-AS-BLOCK,52.97.211
52.98.177.18,0.5,8075.0,MICROSOFT-CORP-MSN-AS-BLOCK,52.98.177
52.97.200.226,0.5,8075.0,MICROSOFT-CORP-MSN-AS-BLOCK,52.97.200
52.97.210.162,0.5,8075.0,MICROSOFT-CORP-MSN-AS-BLOCK,52.97.210
52.97.200.210,0.5,8075.0,MICROSOFT-CORP-MSN-AS-BLOCK,52.97.200
52.97.156.2,0.5,8075.0,MICROSOFT-CORP-MSN-AS-BLOCK,52.97.156
52.98.229.210,0.5,8075.0,MICROSOFT-CORP-MSN-AS-BLOCK,52.98.229
43.129.192.216,0.5,132203.0,"Tencent Building, Kejizhongyi Avenue",43.129.192
216.147.221.102,0.5,14148.0,EXLIBRIS,216.147.221
52.96.113.194,0.5,8075.0,MICROSOFT-CORP-MSN-AS-BLOCK,52.96.113
40.97.204.18,0.5,8075.0,MICROSOFT-CORP-MSN-AS-BLOCK,40.97.204
52.96.113.130,0.5,8075.0,MICROSOFT-CORP-MSN-AS-BLOCK,52.96.113
52.96.119.114,0.5,8075.0,MICROSOFT-CORP-MSN-AS-BLOCK,52.96.119
52.96.164.194,0.5,8075.0,MICROSOFT-CORP-MSN-AS-BLOCK,52.96.164
52.96.164.114,0.5,8075.0,MICROSOFT-CORP-MSN-AS-BLOCK,52.96.164
52.96.164.66,0.5,8075.0,MICROSOFT-CORP-MSN-AS-BLOCK,52.96.164
52.96.166.66,0.5,8075.0,MICROSOFT-CORP-MSN-AS-BLOCK,52.96.166
172.67.139.72,0.5,13335.0,CLOUDFLARENET,172.67.139
104.21.70.203,0.5,13335.0,CLOUDFLARENET,104.21.70
58.205.220.28,0.5,4538.0,China Education and Research Network Center,58.205.220
58.205.220.16,0.5,4538.0,China Education and Research Network Center,58.205.220
58.205.220.43,0.5,4538.0,China Education and Research Network Center,58.205.220
58.205.220.38,0.5,4538.0,China Education and Research Network Center,58.205.220
52.97.229.162,0.5,8075.0,MICROSOFT-CORP-MSN-AS-BLOCK,52.97.229
52.97.229.146,0.5,8075.0,MICROSOFT-CORP-MSN-AS-BLOCK,52.97.229
52.97.229.130,0.5,8075.0,MICROSOFT-CORP-MSN-AS-BLOCK,52.97.229
52.97.229.178,0.5,8075.0,MICROSOFT-CORP-MSN-AS-BLOCK,52.97.229
3.20.137.44,0.5,16509.0,AMAZON-02,3.20.137
3.141.96.53,0.5,16509.0,AMAZON-02,3.141.96
162.125.80.6,0.5,19679.0,DROPBOX,162.125.80
59.110.190.49,0.5,37963.0,"Hangzhou Alibaba Advertising Co.,Ltd.",59.110.190
112.213.89.130,0.5,45544.0,SUPERDATA,112.213.89
121.251.249.38,0.5,4538.0,China Education and Research Network Center,121.251.249
121.251.249.39,0.5,4538.0,China Education and Research Network Center,121.251.249
162.125.34.133,0.5,19679.0,DROPBOX,162.125.34
34.236.176.60,0.5,14618.0,AMAZON-AES,34.236.176
203.119.144.59,0.5,37963.0,"Hangzhou Alibaba Advertising Co.,Ltd.",203.119.144
89.105.194.168,0.5,24875.0,NovoServe B.V.,89.105.194
104.21.52.160,0.5,13335.0,CLOUDFLARENET,104.21.52
172.67.201.39,0.5,13335.0,CLOUDFLARENET,172.67.201
103.252.114.101,0.5,13414.0,TWITTER,103.252.114
64.70.19.203,0.5,3561.0,CENTURYLINK-LEGACY-SAVVIS,64.70.19
69.16.230.226,0.5,32244.0,LIQUIDWEB,69.16.230
172.67.137.224,0.5,13335.0,CLOUDFLARENET,172.67.137
104.21.78.226,0.5,13335.0,CLOUDFLARENET,104.21.78
3.64.163.50,0.5,16509.0,AMAZON-02,3.64.163
103.246.114.120,0.5,55720.0,Gigabit Hosting Sdn Bhd,103.246.114
162.251.108.34,0.5,32338.0,HOSTISERVER,162.251.108
124.251.86.69,0.5,9802.0,AbitcoolChina Inc.,124.251.86
34.123.91.139,0.5,396982.0,GOOGLE-CLOUD-PLATFORM,34.123.91
131.253.33.203,0.5,8068.0,MICROSOFT-CORP-MSN-AS-BLOCK,131.253.33
170.114.52.2,0.5,209242.0,"Cloudflare London, LLC",170.114.52
40.99.150.98,0.5,8075.0,MICROSOFT-CORP-MSN-AS-BLOCK,40.99.150
52.98.179.50,0.5,8075.0,MICROSOFT-CORP-MSN-AS-BLOCK,52.98.179
