domain,label
jjjskphbjytaz.sysu.edu.cn,0.0
imrh-access.gome.com.cn,0.0
zdrllhmo.page.link,1.0
paperswithco.sysu.edu.cn,0.0
juping.baidu.com,0.0
adultbox.club,1.0
quwjboxhph.sysu.edu.cn,0.0
ver32.jixunjsq.com,0.0
seyso.org,1.0
wiki.hk.mikecrm.com,0.0
3f765c382c0d372719b9bf1bf24a8670.safeframe.googlesyndication.com,0.0
upcdn-szbd.bilivideo.com,0.0
w4dasvax2nwguyu6jjva-f-219490429-clientnsv4-s.akamaihd.net,0.0
clctabtn.page.link,1.0
grabpanda.com,1.0
xiyou.co.cnki.net,0.0
wfttbhath.sysu.edu.cn,0.0
tecrux.net,1.0
vsfqhlyo.page.link,1.0
you2mentor.com,1.0
freelistingsa.co.za,1.0
w4dasvax2ll5eyu6jqiq-f-dfb66cd3f-clientnsv4-s.akamaihd.net,0.0
iknow-data.cdn.bcebos.com,0.0
r3---sn-npoldn7d.googlevideo.com,0.0
a-0.19-a7000201.0.170c.d0f.3ea5.210.0.p16gjzk7nqt8wqgufitb27z7r6.avts.mcafee.com,0.0
73a2y5.tdum.alibaba.com,0.0
nlhatvhg.page.link,1.0
spatrinity.sysu.edu.cn,0.0
inflatablez.io,1.0
dns1.cs.nthu.edu.tw,0.0
blushingtonbeauty.co.uk,1.0
letsgo-oman.com,1.0
issjyinmail.sysu.edu.cn,0.0
3c66b805e6a6f72c3ac0e12a05fd348a.safeframe.googlesyndication.com,0.0
f33309ab0f152a9b4ce51e34864579c8.safeframe.googlesyndication.com,0.0
btsizaucpeg.sysu.edu.cn,0.0
w4dasvaxfdy4syu7ldya-f-f7fca8d06-clientnsv4-s.akamaihd.net,0.0
hfc14-nmail.s3.nie.netease.com,0.0
3278f180a3524d6c837675c4a98b28be.fp.measure.office.com,0.0
technologysansar.com,1.0
math.berkeley.edu,0.0
oversea.cnki.net.fafu.vpn358.com,0.0
069a129e8dbf1a6a613611f65156d7e1.safeframe.googlesyndication.com,0.0
86dc0373f83642c444ce4438ddb62733.safeframe.googlesyndication.com,0.0
40e5f2716d0cee9d4786ffc2f3065c35.safeframe.googlesyndication.com,0.0
uumu.fi,1.0
grupobogar.com,1.0
www.business-standard.com,0.0
sb2-hetao.oss-cn-beijing.aliyuncs.com,0.0
only-11005-112-97-84-7.nstool.netease.com,0.0
zj2fdlixfqz3eyu6pdyq-f-a412dbb88-clientnsv4-s.akamaihd.net,0.0
cdn2.techbang.com,0.0
ieipjfzc.page.link,1.0
w4dasvaxh7zvgyu6w6oq-pykq92-6e0a395b2-clientnsv4-s.akamaihd.net,0.0
ngarengan.com,1.0
a73.photo.store.qq.com,0.0
dajrnzyqdu.sysu.edu.cn,0.0
gmfylzza.page.link,1.0
img-szwhg.chaoxing.com,0.0
sxsq.2023.ebeenj.com,1.0
zgwqx.2023.ebeenj.com,1.0
www.mathzh.sysu.edu.cn,0.0
ksfqxcpx.page.link,1.0
pla-prod-tm-ingest-01.trafficmanager.net,0.0
w4dasvfydplsgyu66wra-f-a59038e84-clientnsv4-s.akamaihd.net,0.0
alesryc.sysu.edu.cn,0.0
kizbahaf.page.link,1.0
d9183bd28a218183b3a5ef49c092634c.safeframe.googlesyndication.com,0.0
tcservices.com,1.0
eduearn.org,1.0
ybxlxomx.page.link,1.0
laughingpenguinleather.files.wordpress.com,0.0
p3.qpic.cn,0.0
yaomfjlq.page.link,1.0
drawbox.pt,1.0
cloudhawktech.com,1.0
w4dasvaxfdy4syu6fjdq-f-71232b914-clientnsv4-s.akamaihd.net,0.0
vn.abcxzy.com,1.0
gitlab.com,1.0
ajpglobalshopping.com,1.0
72k6ns9a24zs6ekrzpys2an72qik26mxoejhee2m79611ba59563ec39sac.d.aa.online-metrix.net,0.0
72k6ns9attkxykmhgd66tzig5hmfpfvyupv4mz3i1b0e302b32f723a2sac.d.aa.online-metrix.net,0.0
vfbolcam.page.link,1.0
rr5---sn-n8v7sney.googlevideo.com,0.0
hillstonmotorinn.com.au,1.0
nwauwzte.page.link,1.0
hectorlavarellofoundation.org,1.0
44.18.33.45.sbl.spamhaus.org,0.0
nuobmkqm.page.link,1.0
mastersite.fun,1.0
jdbyrafi.page.link,1.0
polipositiva.com.br,1.0
ouchi-work-mei.com,1.0
satellite-navigation.springeropen.com,0.0
studentuonschoolnz-my.sharepoint.com,0.0
frinddrfbzjl.sysu.edu.cn,0.0
hijrr.com,1.0
t4.wnacg.top,0.0
stockjs.finance.qq.com,0.0
baff7c4aebc625fbd9242420d90d4513.safeframe.googlesyndication.com,0.0
b23f9dba6ac95108e3323ac9512451e8.safeframe.googlesyndication.com,0.0
38302230e1f091880d1878ab724764c3.safeframe.googlesyndication.com,0.0
26a478820d034dbda2151a8307fe7541.fp.measure.office.com,0.0
1717.1000uc.com,1.0
yxbxpkda.page.link,1.0
