start,end,w
7,5070,0.5
7,6073,0.5
7,10251,0.5
7,10288,0.5
7,11997,0.5
7,13274,0.5
7,20407,0.5
7,20963,0.5
7,21132,0.5
7,23051,0.5
7,25381,0.5
7,32215,0.5
7,32823,0.5
7,33928,0.5
7,33973,0.5
7,36021,0.5
7,36916,0.5
7,37386,0.5
7,38538,0.5
7,38618,0.5
7,38852,0.5
7,39268,0.5
32,23911,0.5
36,26811,0.5
36,27385,0.5
36,29450,0.5
65,13337,0.5
65,20360,0.5
65,31776,0.5
65,32606,0.5
65,44631,0.5
65,45491,0.5
75,1345,0.5
75,2486,0.5
75,17491,0.5
75,26834,0.5
75,31330,0.5
75,40966,0.5
75,47167,0.5
75,48385,0.5
77,8356,0.5
77,18358,0.5
77,19793,0.5
79,5377,0.666666667
83,14817,0.5
