start,end,w
7,5070,0.5
7,6073,0.5
7,10251,0.5
7,10288,0.5
7,11997,0.5
7,13274,0.5
7,20407,0.5
7,20963,0.5
7,21132,0.5
7,23051,0.5
7,25381,0.5
7,32215,0.5
7,32823,0.5
7,33928,0.5
7,33973,0.5
7,36021,0.5
7,36916,0.5
7,37386,0.5
7,38538,0.5
7,38618,0.5
7,38852,0.5
7,39268,0.5
32,23911,0.5
36,26811,0.5
36,27385,0.5
36,29450,0.5
49,12195,0.5
53,3107,0.5
53,3645,0.5
53,4778,0.5
53,7281,0.5
53,9308,0.666666667
53,12269,0.5
53,13829,0.5
53,18024,0.666666667
53,19126,0.666666667
53,20285,0.5
53,23103,0.5
53,23367,0.666666667
53,24030,0.5
53,25563,0.5
53,27716,0.5
53,28062,0.5
53,32045,0.666666667
53,32761,0.5
53,33247,0.5
53,36132,0.5
