start,end,w
563,7399,1
563,19629,1
563,26071,1
563,26312,1
563,36635,1
563,37182,1
563,46884,1
7399,19629,1
7399,26071,1
7399,26312,1
7399,36635,1
7399,37182,1
7399,46884,1
19629,26071,1
19629,26312,1
19629,36635,1
19629,37182,1
19629,46884,1
26071,26312,1
26071,36635,1
26071,37182,1
26071,46884,1
26312,36635,1
26312,37182,1
26312,46884,1
36635,37182,1
36635,46884,1
37182,46884,1
426,1629,1
426,2476,1
426,3881,1
426,4607,1
426,5795,1
426,6246,1
426,6339,1
426,6346,1
426,6630,1
426,7500,1
426,7518,1
426,8687,1
426,9854,1
