index,domain,label
1,gvegvjo.sysu.edu.cn,0
2,acgbcwvhqbhx.sysu.edu.cn,0
6,chan.sysu.edu.cn,0
8,bvklalo.sysu.edu.cn,0
12,xzqiyewum.sysu.edu.cn,0
24,lvdjpcpuxrtkj.sysu.edu.cn,0
32,sn.chinapost.com.cn,0
34,hkxlhriamsxi.sysu.edu.cn,0
43,ifrqgdzsjfq.sysu.edu.cn,0
44,sg.lingnan.sysu.edu.cn,0
51,qdomawuickm.sysu.edu.cn,0
52,cosinej.sysu.edu.cn,0
53,zhibo.sina.cn,0
63,krhksiamhogc.sysu.edu.cn,0
69,ekajxaqmuzpihl.sysu.edu.cn,0
70,_._tcp.mail.sysu.edu.cn,0
72,bttwvvtwmbfrdlx.sysu.edu.cn,0
79,pfpdort-stsdk.vivo.com.cn,0
86,2e5e3fdb6ef74664adc22a23de274a6c.fp.measure.office.com,0
100,shopeeday2022.blogspot.com,1
102,queue.telemart.pk,1
105,mail-101883.weeblysite.com,1
110,a9fm5b.tdum.alibaba.com,0
112,prorabprofi.online,1
116,www.my-gardenparty.com,1
118,aiinput.shouji.sogou.com,0
120,lgamedata-production-1258390525.file.myqcloud.com,0
121,pnhuux.xyz,1
125,m.zhtj.youth.cn,0
