index,domain,label
18527,u-id.oppomobile.com,0
31972,english.cdn.zeenews.com,0
38328,78usgd698ps.cc,1
19155,9.c.14-0.19-a7000001.88a00b1.170c.c6b.3ea5.210.0.58irh9m3l59wprm3fm6b5nj97i.avts.mcafee.com,0
24105,dongshengbio.en.alibaba.com,0
28511,page11confirms.start.page,1
14787,x786699.com,1
21176,unlayer.com,0
3162,fr-cetemic.web.app,1
36474,bhddrs.webcindario.com,1
16016,pub-a197f60922ae48e9904e83d2d3568c8c.r2.dev,1
36737,akronrrclub.files.wordpress.com,0
25314,9ad622b80a06492882e20a09ce20e930.fp.measure.office.com,0
7192,node.video.qq.com,0
38824,i6-static.jjwxc.net,0
